county,state,weightedSentimentOfTweets,percentOfTweets
Schenectady,New York,-6.0899,19.17
Seminole,Florida,8.0839,33.33
Passaic,New Jersey,50.6089,81.58
Alexandria City,Virginia,65.2047,70.00
Pima,Arizona,-86.3622,44.08
Thurston,Washington,21.4691,52.94
Cobb,Georgia,78.7420,54.50
Dane,Wisconsin,49.4445,34.34
Bexar,Texas,-89.7998,35.78
Monterey,California,-2.0810,25.94
Milwaukee,Wisconsin,91.3883,62.61
Washington,Minnesota,-11.8338,5.41
Rensselaer,New York,1.3000,50.00
New London,Connecticut,-26.9065,33.33
Palm Beach,Florida,-33.1969,30.99
Sandoval,New Mexico,-6.4508,43.33
Pitt,North Carolina,2.3380,68.97
Lynchburg City,Virginia,-19.0566,27.06
Harrisonburg City,Virginia,-11.0043,20.00
Essex,Massachusetts,-24.8500,26.04
Athens,Ohio,-0.3000,50.00
Dakota,Minnesota,12.2566,60.42
Cumberland,New Jersey,-16.4768,11.11
Hidalgo,Texas,45.6316,23.65
Washtenaw,Michigan,59.9047,45.59
Washington,North Carolina,26.1426,86.67
Douglas,Nebraska,54.3930,54.87
Clatsop,Oregon,88.0427,71.67
New Castle,Delaware,87.5335,81.48
Fairfax City,Virginia,-11.3205,64.71
Honolulu,Hawaii,60.7615,28.52
Kauai,Hawaii,44.8001,65.57
Warren,Mississippi,1.0000,50.00
Dallas,Alabama,4.2838,85.71
Nassau,New York,-3.9563,21.21
St. Louis,Missouri,-6.3562,41.94
Whatcom,Washington,-10.3973,46.43
Montgomery,Pennsylvania,10.8629,36.54
San Mateo,California,61.2734,51.20
Adams,Mississippi,-12.2572,16.67
Oakland,Michigan,72.7066,58.38
Loudoun,Virginia,27.3066,41.18
Monroe,Indiana,34.9802,58.06
Onondaga,New York,-83.0417,23.81
Duval,Texas,1.6000,50.00
Pueblo,Colorado,-16.8634,20.22
Teton,Wyoming,16.9900,69.23
Manassas City,Virginia,10.4163,68.53
Bolivar,Mississippi,-2.3970,40.00
Mendocino,California,-20.6776,15.79
Kalamazoo,Michigan,-4.7678,21.52
Blue Earth,Minnesota,-55.9045,28.57
Ramsey,Minnesota,7.6313,50.69
Union,New Jersey,-12.7304,27.27
Taos,New Mexico,-31.5204,5.36
Kane,Illinois,-35.4701,37.50
Pulaski,Arkansas,18.0454,46.88
Williamsburg City,Virginia,19.6323,28.99
Stanislaus,California,-16.1005,31.58
Ulster,New York,-17.2299,36.25
Barnstable,Massachusetts,-7.5017,40.98
Talbot,Maryland,-13.9891,42.86
Chesapeake City,Virginia,16.3742,58.06
Lincoln,Oregon,17.9078,66.67
Kent,Michigan,-3.7993,49.32
Erie,Pennsylvania,16.2050,74.77
Durham,North Carolina,80.8293,57.26
Napa,California,-4.2135,22.22
Lake,California,-11.5292,17.65
Addison,Vermont,-37.4561,4.03
Burlington,New Jersey,-11.5821,27.59
Baltimore,Maryland,-8.5036,22.00
Coconino,Arizona,46.3446,59.52
Polk,Iowa,-62.4654,40.00
Lehigh,Pennsylvania,25.9653,40.81
